Transaction_ID,Customer_ID,Transaction_Type,Source_Country,Destination_Country,Source_City,Destination_City,Source_Currency,Destination_Currency,Exchange_Rate,Amount,Converted_Amount,Fee_Charged,Tax,Total_Cost,Sharia_Compliant,Contract_Type,Transaction_Date,Transaction_Time,Processing_Time_Seconds,Fraud_Flag,AML_Flag,Risk_Score,Channel,Device_Type
TXN000001,CUST0000,Transfer,UK,UAE,,,,,,,,43.77113045540135,,,Yes,Murabaha,,,64.5223766142527,,,18,,
TXN000002,CUST0001,Transfer,UK,UAE,,,,,,,,43.92741198269128,,,Yes,Other,,,70.46298927670176,,,11,,
TXN000003,CUST0002,Transfer,UK,UAE,,,,,,,,41.4683060380985,,,Yes,Salam,,,58.92662105107964,,,14,,
TXN000004,CUST0003,Transfer,UK,UAE,,,,,,,,40.86069607167436,,,Yes,Salam,,,58.357915347748445,,,13,,
TXN000005,CUST0004,Transfer,UK,UAE,,,,,,,,44.723483368662954,,,Yes,Ijara,,,63.36280871995442,,,1,,
TXN000006,CUST0005,Transfer,UK,UAE,,,,,,,,44.163225261061335,,,Yes,Ijara,,,76.72938725144502,,,10,,
TXN000007,CUST0006,Transfer,UK,UAE,,,,,,,,47.20273045866145,,,Yes,Ijara,,,67.99941636776734,,,15,,
TXN000008,CUST0007,Transfer,UK,UAE,,,,,,,,42.81362713933996,,,Yes,Other,,,62.029126076353506,,,19,,
TXN000009,CUST0008,Transfer,UK,UAE,,,,,,,,39.81667273601852,,,Yes,Salam,,,62.697994090260686,,,17,,
TXN000010,CUST0009,Transfer,UK,UAE,,,,,,,,42.834576728305564,,,Yes,Salam,,,68.49423437808375,,,10,,
TXN000011,CUST0010,Transfer,UK,UAE,,,,,,,,45.10851515388394,,,Yes,Ijara,,,57.9531237623546,,,22,,
TXN000012,CUST0011,Transfer,UK,UAE,,,,,,,,36.43544801213052,,,Yes,Other,,,65.55871303332202,,,8,,
TXN000013,CUST0012,Transfer,UK,UAE,,,,,,,,42.78148107716005,,,Yes,Other,,,56.91272495552906,,,23,,
TXN000014,CUST0013,Transfer,UK,UAE,,,,,,,,44.79914856763267,,,Yes,Ijara,,,67.12457334609272,,,7,,
TXN000015,CUST0014,Transfer,UK,UAE,,,,,,,,43.504308103077996,,,Yes,Ijara,,,61.03022803892892,,,18,,
TXN000016,CUST0015,Transfer,UK,UAE,,,,,,,,41.72498366025405,,,Yes,Ijara,,,63.50347062621462,,,4,,
TXN000017,CUST0016,Transfer,UK,UAE,,,,,,,,39.19193129239283,,,Yes,Murabaha,,,60.705619575659334,,,6,,
TXN000018,CUST0017,Transfer,UK,UAE,,,,,,,,42.76424694458714,,,Yes,Salam,,,65.99343354676657,,,2,,
TXN000019,CUST0018,Transfer,UK,UAE,,,,,,,,39.12709935726656,,,Yes,Murabaha,,,61.62659041705252,,,13,,
TXN000020,CUST0019,Transfer,UK,UAE,,,,,,,,44.81928117259785,,,Yes,Murabaha,,,73.2898584301413,,,21,,
TXN000021,CUST0020,Transfer,UK,UAE,,,,,,,,42.98375224146309,,,Yes,Salam,,,69.59433794901106,,,12,,
TXN000022,CUST0021,Transfer,UK,UAE,,,,,,,,47.28493704066234,,,Yes,Ijara,,,55.97855668848628,,,5,,
TXN000023,CUST0022,Transfer,UK,UAE,,,,,,,,36.94002580743444,,,Yes,Murabaha,,,63.457280680749676,,,19,,
TXN000024,CUST0023,Transfer,UK,UAE,,,,,,,,41.78009448542269,,,Yes,Murabaha,,,66.17577615994625,,,2,,
TXN000025,CUST0024,Transfer,UK,UAE,,,,,,,,45.000125559089845,,,Yes,Murabaha,,,60.20920335703393,,,11,,
TXN000026,CUST0025,Transfer,UK,UAE,,,,,,,,46.22798684874722,,,Yes,Other,,,68.56238351981004,,,23,,
TXN000027,CUST0026,Transfer,UK,UAE,,,,,,,,45.12161751473818,,,Yes,Ijara,,,67.97325407955137,,,8,,
TXN000028,CUST0027,Transfer,UK,UAE,,,,,,,,39.940766635101404,,,Yes,Salam,,,62.082187234035686,,,4,,
TXN000029,CUST0028,Transfer,UK,UAE,,,,,,,,41.35639326332839,,,Yes,Salam,,,67.40607942036691,,,4,,
TXN000030,CUST0029,Transfer,UK,UAE,,,,,,,,36.09272010815819,,,Yes,Ijara,,,50.4466865254593,,,11,,
TXN000031,CUST0030,Transfer,UK,UAE,,,,,,,,42.936280360885334,,,Yes,Salam,,,69.28794104638422,,,14,,
TXN000032,CUST0031,Transfer,UK,UAE,,,,,,,,46.289843927225064,,,Yes,Ijara,,,66.93254401037763,,,9,,
TXN000033,CUST0032,Transfer,UK,UAE,,,,,,,,42.82107761402891,,,Yes,Ijara,,,57.06161152634371,,,20,,
TXN000034,CUST0033,Transfer,UK,UAE,,,,,,,,44.530064065344675,,,Yes,Other,,,63.759401800464275,,,14,,
TXN000035,CUST0034,Transfer,UK,UAE,,,,,,,,44.45013990295119,,,Yes,Other,,,52.3685824431638,,,3,,
TXN000036,CUST0035,Transfer,UK,UAE,,,,,,,,41.84943076057379,,,Yes,Other,,,58.68288183571885,,,13,,
TXN000037,CUST0036,Transfer,UK,UAE,,,,,,,,35.504444180120245,,,Yes,Murabaha,,,67.97819669041206,,,14,,
TXN000038,CUST0037,Transfer,UK,UAE,,,,,,,,46.822698805906676,,,Yes,Ijara,,,62.43581920797424,,,17,,
TXN000039,CUST0038,Transfer,UK,UAE,,,,,,,,44.09600069158355,,,Yes,Salam,,,62.15898513738224,,,3,,
TXN000040,CUST0039,Transfer,UK,UAE,,,,,,,,39.04780313479688,,,Yes,Murabaha,,,62.72613095323279,,,15,,
TXN000041,CUST0040,Transfer,UK,UAE,,,,,,,,43.91263371036701,,,Yes,Ijara,,,62.14285176881248,,,21,,
TXN000042,CUST0041,Transfer,UK,UAE,,,,,,,,43.40018549919876,,,Yes,Murabaha,,,67.43744858484364,,,2,,
TXN000043,CUST0042,Transfer,UK,UAE,,,,,,,,46.73326503245697,,,Yes,Ijara,,,59.40505192776068,,,21,,
TXN000044,CUST0043,Transfer,UK,UAE,,,,,,,,44.21623724172899,,,Yes,Other,,,64.59673036830672,,,10,,
TXN000045,CUST0044,Transfer,UK,UAE,,,,,,,,44.22698168425474,,,Yes,Murabaha,,,56.77691167561703,,,22,,
