repo,stars,tau_v_days,default
request/request,25530,209.33,0
bower/bower,14916,92.82,0
lodash/lodash,61258,30.59,0
moment/moment,47937,67.69,0
jashkenas/underscore,27341,31.87,0
facebook/create-react-app,103302,5.19,0
gulpjs/gulp,32958,25.02,0
SerenityOS/serenity,33658,17.77,0
pallets/flask,72014,0.63,0
fastify/fastify,36803,16.15,0
microg/GmsCore,14013,3.95,0
vitejs/vite,82089,2.03,0
RIOT-OS/RIOT,5765,3.43,0
psf/requests,54175,0.25,0
sveltejs/svelte,87678,4.09,0
apache/nuttx,3964,3.97,0
termux/termux-app,58127,3.33,0
expressjs/express,69246,4.76,0
gohugoio/hugo,89174,2.17,0
zephyrproject-rtos/zephyr,15990,0.17,0
Netflix/Hystrix,24477,319.14,0
angular/angular.js,58572,7.97,1
google/lovefield,6769,14.71,1
yahoo/mojito,1560,44.24,1
facebook/draft-js,22626,45.42,1
jquery/jquery-mobile,9613,24.57,1
nodejs/node-v0.x-archive,34297,70.51,1
twbs/bootstrap,174531,3.9,0
jquery/jquery,59797,3.69,0
d3/d3,113289,24.04,0
mrdoob/three.js,114003,1.01,0
chartjs/Chart.js,67603,0.46,0
videojs/video.js,39835,15.17,0
select2/select2,25908,100.99,0
Leaflet/Leaflet,45391,0.32,0
jashkenas/backbone,28105,122.49,0
emberjs/ember.js,22569,15.95,0
facebook/nuclide,7718,19.2,1
google/web-starter-kit,18291,158.34,1
Netflix/asgard,2228,321.2,1
facebookarchive/react-native-fbsdk,2974,23.72,1
mozilla/persona,1839,27.9,1
facebook/flux,17459,104.48,1
google/closure-library,4900,127.31,1
