Month,Property_Value_USD,Bank_Ownership_Pct,Customer_Ownership_Pct,Monthly_Rental_Payment_USD,Equity_Acquisition_Payment_USD,Total_Monthly_Payment_USD
1,400000,80.0,20.0,2000,32000,34000
2,400000,72.0,28.0,1800,32000,33800
3,400000,64.0,36.0,1600,32000,33600
4,400000,56.0,44.0,1400,32000,33400
5,400000,48.0,52.0,1200,32000,33200
6,400000,40.0,60.0,1000,32000,33000
7,400000,32.0,68.0,800,32000,32800
8,400000,24.0,76.0,600,32000,32600
9,400000,16.0,84.0,400,32000,32400
10,400000,8.0,92.0,200,32000,32200
