Account_ID,Month,Total_Asset_Market_Value,Bank_Ownership_Balance,Customer_Ownership_Balance,Arrears_Amount,Write_Down_Loss,Default_Event_Trigger,Realised_Recovery,Audit_Status
MSH-2026-001,1,423079.52,334500.0,85500.0,0.0,0.0,0,0.0,Performing
MSH-2026-001,2,425553.98,333000.0,87000.0,0.0,0.0,0,0.0,Performing
MSH-2026-001,3,426408.1,331500.0,88500.0,0.0,0.0,0,0.0,Performing
MSH-2026-001,4,425099.09,330000.0,90000.0,0.0,0.0,0,0.0,Performing
MSH-2026-001,5,420165.59,328500.0,91500.0,0.0,0.0,0,0.0,Performing
MSH-2026-001,6,426063.6,327000.0,93000.0,0.0,0.0,0,0.0,Performing
MSH-2026-001,7,428329.15,325500.0,94500.0,0.0,0.0,0,0.0,Performing
MSH-2026-001,8,424959.19,324000.0,96000.0,0.0,0.0,0,0.0,Performing
MSH-2026-001,9,423973.49,322500.0,97500.0,0.0,0.0,0,0.0,Performing
MSH-2026-001,10,430596.3,321000.0,99000.0,0.0,0.0,0,0.0,Performing
MSH-2026-001,11,430348.16,319500.0,100500.0,0.0,0.0,0,0.0,Performing
MSH-2026-001,12,431574.07,318000.0,102000.0,0.0,0.0,0,0.0,Performing
MSH-2026-001,13,431256.08,316500.0,103500.0,0.0,0.0,0,0.0,Performing
MSH-2026-001,14,434854.42,315000.0,105000.0,0.0,0.0,0,0.0,Performing
MSH-2026-001,15,435391.2,313500.0,106500.0,0.0,0.0,0,0.0,Performing
MSH-2026-001,16,436111.57,312000.0,108000.0,0.0,0.0,0,0.0,Performing
MSH-2026-001,17,431640.98,310500.0,109500.0,0.0,0.0,0,0.0,Performing
MSH-2026-001,18,433562.78,309000.0,111000.0,0.0,0.0,0,0.0,Performing
MSH-2026-001,19,434301.13,307500.0,112500.0,0.0,0.0,0,0.0,Performing
MSH-2026-001,20,433268.74,306000.0,114000.0,0.0,0.0,0,0.0,Performing
MSH-2026-001,21,433591.76,304500.0,115500.0,0.0,0.0,0,0.0,Performing
MSH-2026-001,22,435408.89,303000.0,117000.0,0.0,0.0,0,0.0,Performing
MSH-2026-001,23,435748.52,301500.0,118500.0,0.0,0.0,0,0.0,Performing
MSH-2026-001,24,443830.41,300000.0,120000.0,0.0,0.0,0,0.0,Performing
MSH-2026-002,1,353968.06,278500.0,71500.0,0.0,0.0,0,0.0,Performing
MSH-2026-002,2,348944.17,277000.0,73000.0,0.0,0.0,0,0.0,Performing
MSH-2026-002,3,348928.28,275500.0,74500.0,0.0,0.0,0,0.0,Performing
MSH-2026-002,4,352593.16,274000.0,76000.0,0.0,0.0,0,0.0,Performing
MSH-2026-002,5,354778.04,272500.0,77500.0,0.0,0.0,0,0.0,Performing
MSH-2026-002,6,356855.68,271000.0,79000.0,0.0,0.0,0,0.0,Performing
MSH-2026-002,7,356180.44,269500.0,80500.0,0.0,0.0,0,0.0,Performing
MSH-2026-002,8,355742.01,268000.0,82000.0,0.0,0.0,0,0.0,Performing
MSH-2026-002,9,356069.04,266500.0,83500.0,0.0,0.0,0,0.0,Performing
MSH-2026-002,10,355301.8,265000.0,85000.0,0.0,0.0,0,0.0,Performing
MSH-2026-002,11,357756.2,263500.0,86500.0,0.0,0.0,0,0.0,Performing
MSH-2026-002,12,358921.29,262000.0,88000.0,0.0,0.0,0,0.0,Performing
MSH-2026-002,13,359030.99,260500.0,89500.0,0.0,0.0,0,0.0,Performing
MSH-2026-002,14,357750.26,259000.0,91000.0,0.0,0.0,0,0.0,Performing
MSH-2026-002,15,360156.18,257500.0,92500.0,0.0,0.0,0,0.0,Performing
MSH-2026-002,16,364279.5,256000.0,94000.0,0.0,0.0,0,0.0,Performing
MSH-2026-002,17,360582.28,254500.0,95500.0,0.0,0.0,0,0.0,Performing
MSH-2026-002,18,359261.02,253000.0,97000.0,0.0,0.0,0,0.0,Performing
MSH-2026-002,19,361543.67,251500.0,98500.0,0.0,0.0,0,0.0,Performing
MSH-2026-002,20,361976.88,250000.0,100000.0,0.0,0.0,0,0.0,Performing
MSH-2026-002,21,362618.39,248500.0,101500.0,0.0,0.0,0,0.0,Performing
MSH-2026-002,22,366596.98,247000.0,103000.0,0.0,0.0,0,0.0,Performing
MSH-2026-002,23,367795.72,245500.0,104500.0,0.0,0.0,0,0.0,Performing
MSH-2026-002,24,369281.87,244000.0,106000.0,0.0,0.0,0,0.0,Performing
MSH-2026-003,1,500221.42,398500.0,101500.0,0.0,0.0,0,0.0,Arrears (30-60d)
MSH-2026-003,2,500761.15,397000.0,103000.0,0.0,0.0,0,0.0,Arrears (30-60d)
MSH-2026-003,3,507557.28,395500.0,104500.0,0.0,0.0,0,0.0,Arrears (30-60d)
MSH-2026-003,4,499918.38,394000.0,106000.0,0.0,0.0,0,0.0,Arrears (30-60d)
MSH-2026-003,5,503995.04,392500.0,107500.0,0.0,0.0,0,0.0,Arrears (30-60d)
MSH-2026-003,6,503538.55,391000.0,109000.0,0.0,0.0,0,0.0,Arrears (30-60d)
MSH-2026-003,7,508396.74,389500.0,110500.0,0.0,0.0,0,0.0,Arrears (30-60d)
MSH-2026-003,8,509964.49,388000.0,112000.0,0.0,0.0,0,0.0,Arrears (30-60d)
MSH-2026-003,9,512906.38,386500.0,113500.0,0.0,0.0,0,0.0,Arrears (30-60d)
MSH-2026-003,10,505623.26,385000.0,115000.0,0.0,0.0,0,0.0,Arrears (30-60d)
MSH-2026-003,11,509881.49,383500.0,116500.0,0.0,0.0,0,0.0,Arrears (30-60d)
MSH-2026-003,12,509216.12,382000.0,118000.0,0.0,0.0,0,0.0,Arrears (30-60d)
MSH-2026-003,13,516307.7,380500.0,119500.0,0.0,0.0,0,0.0,Arrears (30-60d)
MSH-2026-003,14,516138.77,379000.0,121000.0,0.0,0.0,0,0.0,Arrears (30-60d)
MSH-2026-003,15,517946.83,377500.0,122500.0,0.0,0.0,0,0.0,Arrears (30-60d)
MSH-2026-003,16,518212.72,376000.0,124000.0,0.0,0.0,0,0.0,Arrears (30-60d)
MSH-2026-003,17,518605.15,374500.0,125500.0,0.0,0.0,0,0.0,Arrears (30-60d)
MSH-2026-003,18,515519.16,374500.0,125500.0,4200.0,0.0,0,0.0,Arrears (30-60d)
MSH-2026-003,19,519888.97,374500.0,125500.0,8400.0,0.0,0,0.0,Arrears (30-60d)
MSH-2026-003,20,519838.64,374500.0,125500.0,12600.0,0.0,0,0.0,Arrears (30-60d)
MSH-2026-003,21,523604.5,374500.0,125500.0,16800.0,0.0,0,0.0,Arrears (30-60d)
MSH-2026-003,22,521380.05,374500.0,125500.0,21000.0,0.0,0,0.0,Arrears (30-60d)
MSH-2026-003,23,518447.45,374500.0,125500.0,25200.0,0.0,0,0.0,Arrears (30-60d)
MSH-2026-003,24,521868.75,374500.0,125500.0,29400.0,0.0,0,0.0,Arrears (30-60d)
MSH-2026-004,1,349072.25,278500.0,71500.0,0.0,0.0,0,0.0,Performing
MSH-2026-004,2,352841.73,277000.0,73000.0,0.0,0.0,0,0.0,Performing
MSH-2026-004,3,349349.66,275500.0,74500.0,0.0,0.0,0,0.0,Performing
MSH-2026-004,4,350463.67,274000.0,76000.0,0.0,0.0,0,0.0,Performing
MSH-2026-004,5,355735.95,272500.0,77500.0,0.0,0.0,0,0.0,Performing
MSH-2026-004,6,355959.93,271000.0,79000.0,0.0,0.0,0,0.0,Performing
MSH-2026-004,7,353354.7,269500.0,80500.0,0.0,0.0,0,0.0,Performing
MSH-2026-004,8,358089.8,268000.0,82000.0,0.0,0.0,0,0.0,Performing
MSH-2026-004,9,357981.27,266500.0,83500.0,0.0,0.0,0,0.0,Performing
MSH-2026-004,10,359908.69,265000.0,85000.0,0.0,0.0,0,0.0,Performing
MSH-2026-004,11,356184.77,263500.0,86500.0,0.0,0.0,0,0.0,Performing
MSH-2026-004,12,356076.05,262000.0,88000.0,0.0,0.0,0,0.0,Performing
MSH-2026-004,13,357227.15,260500.0,89500.0,0.0,0.0,0,0.0,Performing
MSH-2026-004,14,362051.04,259000.0,91000.0,0.0,0.0,0,0.0,Performing
MSH-2026-004,15,362968.56,257500.0,92500.0,0.0,0.0,0,0.0,Performing
MSH-2026-004,16,358354.44,256000.0,94000.0,0.0,0.0,0,0.0,Performing
MSH-2026-004,17,362582.71,254500.0,95500.0,0.0,0.0,0,0.0,Performing
MSH-2026-004,18,365848.32,253000.0,97000.0,0.0,0.0,0,0.0,Performing
MSH-2026-004,19,364812.1,251500.0,98500.0,0.0,0.0,0,0.0,Performing
MSH-2026-004,20,360909.04,250000.0,100000.0,0.0,0.0,0,0.0,Performing
MSH-2026-004,21,365404.4,248500.0,101500.0,0.0,0.0,0,0.0,Performing
MSH-2026-004,22,368721.3,247000.0,103000.0,0.0,0.0,0,0.0,Performing
MSH-2026-004,23,369076.42,245500.0,104500.0,0.0,0.0,0,0.0,Performing
MSH-2026-004,24,367587.96,244000.0,106000.0,0.0,0.0,0,0.0,Performing
MSH-2026-005,1,595338.46,478500.0,121500.0,0.0,0.0,0,0.0,Default (90d+)
MSH-2026-005,2,601051.36,477000.0,123000.0,0.0,0.0,0,0.0,Default (90d+)
MSH-2026-005,3,598062.76,475500.0,124500.0,0.0,0.0,0,0.0,Default (90d+)
MSH-2026-005,4,602909.32,474000.0,126000.0,0.0,0.0,0,0.0,Default (90d+)
MSH-2026-005,5,602497.66,472500.0,127500.0,0.0,0.0,0,0.0,Default (90d+)
MSH-2026-005,6,602518.36,471000.0,129000.0,0.0,0.0,0,0.0,Default (90d+)
