package,depth,U_versions,months_since_release,D_enc_release_hygiene,D_dec_pin_clarity,n_requires,E_indegree
requests,0,163,2.37,0.835346,1.0,4,31
flask,0,64,5.12,0.700737,1.0,7,5
django,0,438,0.1,0.991854,0.666667,3,1
pandas,0,117,0.1,0.991854,0.6,5,9
scikit-learn,0,75,1.74,0.873291,1.0,5,1
sqlalchemy,0,325,0.89,0.931172,0.666667,3,5
celery,0,224,3.98,0.751172,0.9,10,0
fastapi,0,302,0.03,0.99727,1.0,5,2
black,0,73,2.23,0.843058,1.0,8,0
pytest,0,192,1.18,0.910287,1.0,7,1
rich,0,207,3.42,0.778384,1.0,2,8
boto3,0,2080,0.03,0.99727,1.0,3,0
jupyter,0,4,22.8,0.344838,0.0,6,0
notebook,0,212,0.1,0.991854,1.0,6,1
ipython,0,221,0.95,0.926448,1.0,12,3
matplotlib,0,142,0.23,0.981197,1.0,9,1
scipy,0,107,1.18,0.910287,1.0,1,6
sympy,0,67,14.91,0.445855,1.0,1,1
torch,0,49,0.56,0.95553,0.857143,14,1
transformers,0,237,0.3,0.975954,0.888889,9,1
datasets,0,118,1.64,0.879599,0.714286,14,0
gradio,0,669,0.59,0.953037,0.964286,28,0
streamlit,0,268,0.13,0.989168,1.0,23,0
dash,0,218,0.13,0.989168,0.5,12,0
airflow,0,1,91.89,0.115512,0.5,0,0
dbt-core,0,342,0.16,0.986497,1.0,24,0
great-expectations,0,363,0.03,0.99727,0.954545,22,0
prefect,0,846,0.0,1.0,1.0,57,0
luigi,0,89,2.6,0.822184,0.833333,6,0
scrapy,0,113,0.59,0.953037,0.888889,18,0
beautifulsoup4,0,54,1.58,0.883856,1.0,2,1
httpx,0,74,10.28,0.538539,0.25,4,13
aiohttp,0,312,0.07,0.994555,1.0,9,3
tornado,0,83,1.54,0.886,0.5,0,8
sanic,0,84,1.81,0.869135,1.0,11,0
pydantic,0,203,2.1,0.850913,1.0,4,24
attrs,0,36,4.2,0.740512,0.5,0,7
marshmallow,0,200,3.71,0.763737,0.0,2,1
cerberus,0,30,8.57,0.583253,0.0,1,0
jsonschema,0,109,6.54,0.647338,1.0,4,12
poetry,0,187,2.53,0.825902,1.0,22,0
tox,0,297,0.13,0.989168,1.0,12,0
nox,0,30,0.46,0.963088,1.0,8,0
pre-commit,0,203,0.13,0.989168,1.0,5,0
mypy,0,140,0.39,0.968193,1.0,7,0
ruff,0,416,0.07,0.994555,0.5,0,0
pylint,0,212,1.35,0.899084,1.0,11,0
sphinx,0,241,6.77,0.639406,1.0,17,0
mkdocs,0,62,22.8,0.344838,1.0,14,0
pelican,0,66,3.15,0.791883,0.909091,11,0
nbconvert,0,104,3.58,0.770178,0.733333,15,2
papermill,0,76,4.86,0.711658,0.555556,9,0
opencv-python,0,63,0.76,0.940764,1.0,2,0
pillow,0,107,0.79,0.938348,0.5,0,6
imageio,0,100,0.16,0.986497,0.5,2,1
scikit-image,0,71,7.13,0.627327,1.0,8,0
albumentations,0,87,13.93,0.462802,0.75,8,0
plotly,0,318,0.53,0.958036,0.5,2,1
bokeh,0,265,0.0,1.0,1.0,9,3
altair,0,67,1.05,0.919452,0.6,5,2
seaborn,0,36,29.96,0.285983,1.0,3,0
holoviews,0,215,0.1,0.991854,0.888889,9,0
sqlmodel,0,42,0.99,0.924104,1.0,3,0
alembic,0,144,0.99,0.924104,0.5,4,1
peewee,0,217,0.26,0.978568,0.5,0,0
tortoise-orm,0,181,4.14,0.743527,0.833333,6,0
databases,0,43,28.78,0.294277,1.0,1,0
google-cloud-storage,0,123,0.39,0.968193,1.0,6,0
azure-storage-blob,0,89,1.54,0.886,1.0,4,0
paramiko,0,151,2.53,0.825902,1.0,4,1
fabric,0,131,3.65,0.766944,1.0,4,0
pyspark,0,74,0.3,0.975954,1.0,1,0
dask,0,238,0.36,0.970766,1.0,8,0
ray,0,130,0.26,0.978568,0.5,8,0
polars,0,427,0.13,0.989168,1.0,1,0
duckdb,0,117,0.0,1.0,0.5,0,0
pyarrow,0,64,0.49,0.960555,0.5,0,2
spacy,0,216,3.88,0.755835,0.9,20,0
nltk,0,66,0.56,0.95553,0.2,5,0
gensim,0,80,9.2,0.56608,1.0,3,0
sentence-transformers,0,80,0.07,0.994555,1.0,8,0
langchain,0,508,0.3,0.975954,1.0,3,0
openai,0,402,0.07,0.994555,0.875,8,3
anthropic,0,204,0.03,0.99727,0.875,8,0
litellm,0,1216,0.03,0.99727,1.0,12,1
instructor,0,96,0.89,0.931172,1.0,11,0
guardrails-ai,0,105,1.68,0.877486,1.0,27,0
click,0,64,1.02,0.921772,0.0,1,19
typer,0,88,0.33,0.973353,0.75,4,8
fire,0,13,11.27,0.515728,0.0,1,0
docopt,0,11,145.27,0.076302,0.5,0,0
argcomplete,0,137,0.82,0.935943,0.5,0,1
cryptography,0,157,1.41,0.89468,1.0,2,12
pyjwt,0,55,2.14,0.848936,1.0,1,1
passlib,0,17,69.51,0.147214,0.5,0,0
authlib,0,63,2.63,0.820338,0.5,2,0
oauthlib,0,52,13.17,0.476693,0.5,0,1
locust,0,1017,0.03,0.99727,0.9375,16,0
hypothesis,0,1545,0.0,1.0,1.0,2,0
faker,0,503,0.03,0.99727,0.0,1,2
factory-boy,0,46,17.64,0.404841,1.0,1,0
responses,0,64,0.72,0.943194,0.666667,3,0
django-rest-framework,0,1,108.15,0.099878,0.5,0,0
djangorestframework,0,141,4.04,0.748095,1.0,1,0
flask-sqlalchemy,0,35,34.43,0.258463,1.0,2,0
starlette,0,197,1.41,0.89468,1.0,2,4
uvicorn,0,197,0.56,0.95553,1.0,3,3
gunicorn,0,98,2.66,0.8185,0.0,1,0
werkzeug,0,106,3.75,0.762143,1.0,1,5
jinja2,0,52,16.66,0.418765,1.0,1,22
charset-normalizer,1,63,0.59,0.953037,0.5,0,1
idna,1,41,1.74,0.873291,0.5,0,5
urllib3,1,108,2.6,0.822184,0.5,0,6
certifi,1,76,0.1,0.991854,0.5,0,5
blinker,1,17,20.5,0.369238,0.5,0,3
importlib-metadata,1,129,4.17,0.742017,1.0,1,15
itsdangerous,1,27,27.27,0.305602,0.5,0,2
markupsafe,1,35,9.89,0.548238,0.5,0,7
