orf,E_essential,U,D_enc,D_dec,D,D_dec_raw
Q0045,0,43,0.5182724252491694,0.0006401162637404026,0.0003317546084501754,0.00012111038719931029
YML030W,0,16,0.6,0.0020976660584941472,0.0012585996350964882,0.00039687969662665246
YML129C,0,12,0.5606060606060606,0.0004494056481564116,0.0002519395300270792,8.5027822507964e-05
YEL039C,0,20,0.5947368421052631,0.00028900812544029584,0.0001718837798671233,5.4680513460623444e-05
YGL187C,0,64,0.3169642857142857,0.004975123543566003,0.001576936480326724,0.0009412964063822652
Q0275,0,46,0.5120772946859904,0.0012069591298998618,0.0006180563660356781,0.00022835740292203525
YLR395C,0,40,0.5794871794871795,0.0015951118789608526,0.0009243468837055198,0.0003017961395924065
YGL226W,0,27,0.9829059829059829,3.1006518127093625e-06,3.0476492176203135e-06,5.866452125637067e-07
YIL157C,0,7,0.8095238095238095,0.00018355403953773073,0.00014859136534006774,3.472853614203359e-05
Q0105,0,41,0.5902439024390244,0.0004828895570082226,0.00028502261657558503,9.136299846848893e-05
YNR018W,0,23,0.9565217391304348,1.7585083110845437e-05,1.6820514279939115e-05,3.3271084412725556e-06
YMR256C,0,27,0.9857549857549858,2.9579138089216716e-07,2.9157782845780583e-07,5.596390952596874e-08
YDR119W-A,0,27,0.9857549857549858,2.95594186638239e-07,2.913834432388339e-07,5.592660025295142e-08
YCL017C,1,15,0.24761904761904763,0.004861020340597746,0.0012036812271956324,0.000919708010843902
YFR033C,0,31,0.8559139784946237,3.573988595091171e-05,3.059026797518895e-05,6.762008202512266e-06
YNL052W,0,43,0.4950166112956811,0.002105540753420726,0.001042277648703283,0.00039836959370575744
YPR191W,0,48,0.46187943262411346,0.004489520527901317,0.0020736171941813705,0.0008494200198823376
YHR051W,0,40,0.6153846153846154,0.004676887503444635,0.002878084617504391,0.0008848699658403077
YDL067C,1,28,0.9682539682539683,3.3985116737968014e-06,3.2906224143111886e-06,6.43000479803194e-07
YKL192C,1,91,0.18876678876678876,0.031695318656380755,0.005983023521705085,0.005996773605546982
Q0070,0,29,0.9187192118226601,8.647991142204663e-06,7.945075606015614e-06,1.636205194363515e-06
Q0065,0,30,0.8597701149425288,0.00012652520825111327,0.00010878259284118703,2.393864650809764e-05
YIL111W,0,29,0.9433497536945813,5.0708540498929606e-05,4.783588918987695e-05,9.594086765194067e-06
YGR183C,0,38,0.7211948790896159,0.00031073868604023966,0.00022410314910725675,5.879194876917012e-05
YDR231C,1,7,0.42857142857142855,3.274579564261342e-05,1.4033912418262893e-05,6.195524491523842e-06
YGR112W,0,13,0.48717948717948717,0.0024615260765625604,0.0011992050116586832,0.0004657222337887529
YMR244C-A,0,26,0.7538461538461538,0.0027121615239496582,0.002044552533438973,0.0005131426131766355
YDR529C,0,40,0.6525641025641026,0.0009159999077155151,0.0005977486577271758,0.0001733077407684001
YEL024W,0,46,0.5207729468599034,0.0013427243273411629,0.0006992545047699389,0.00025404426101595026
YOR065W,0,48,0.49113475177304966,0.0018150756930971988,0.0008914467499785887,0.0003434134272773414
YLR203C,0,18,0.29411764705882354,0.0003495806006528119,0.00010281782372141526,6.614086268490673e-05
YPL172C,0,3,0.3333333333333333,0.00023039651964639333,7.67988398821311e-05,4.3591161925334784e-05
YNR017W,1,48,0.2473404255319149,0.005072022938488006,0.0012545163119132567,0.0009596298309539333
YNR020C,0,10,0.2222222222222222,0.001869464992011202,0.0004154366648913782,0.00035370391577779504
YGL191W,0,37,0.7162162162162162,0.0011280082075240663,0.0008078977702537231,0.000213419840294267
YJL062W-A,0,11,0.38181818181818183,0.0007695700236776648,0.0002938358272223811,0.00014560311747114515
YHR001W-A,0,33,0.7083333333333334,0.0007247887736050862,0.0005133920479702695,0.00013713047766682578
YJR048W,0,23,0.4505928853754941,0.0008999708705721244,0.0004055204713249889,0.00017027503717245547
Q0250,0,54,0.3920335429769392,0.005751441894661206,0.0022547581431900322,0.001088176311513374
YLR038C,0,33,0.8181818181818182,0.00016123221966147396,0.00013191727063211506,3.0505234218083296e-05
YJL166W,0,39,0.6950067476383266,0.0003480111939154215,0.0002418701280248881,6.584392997376469e-05
Q0140,0,76,0.9312280701754386,0.000386770006013517,0.0003601710863017102,7.317712084311796e-05
YBL045C,0,95,0.13840985442329226,0.039150357162670915,0.005418795235505178,0.0074072714341863275
Q0060,0,26,1.0,0.0,0.0,0.0
YJR045C,0,31,0.23225806451612904,0.006102259671599446,0.0014172990205005166,0.0011545512487054438
Q0075,0,8,0.8214285714285714,8.385890349236735e-07,6.888409929730175e-07,1.5866155646045288e-07
Q0080,0,26,0.8123076923076923,6.958061250155723e-05,5.652086677049572e-05,1.3164694289108528e-05
YLR447C,0,41,0.5170731707317073,0.001519258793446443,0.0007855679614893803,0.00028744468958669605
YMR054W,0,38,0.6102418207681366,0.0028463954187302964,0.0017369895229520586,0.0005385397478739467
YPL271W,0,31,0.6580645161290323,0.0006154097862973387,0.00040497934324082934,0.00011643590661046217
YML081C-A,0,25,0.8733333333333333,0.0012685022367741336,0.0011078252867827434,0.00024000139624824507
YDR298C,0,36,0.6365079365079365,0.0006969626272854194,0.00044362224371659233,0.00013186575382533592
YBL099W,0,45,0.4111111111111111,0.0077451613359479435,0.0031841218825563768,0.0014653892448172417
YOR270C,0,45,0.4585858585858586,0.004758394583924454,0.002182132465759295,0.0009002911551391308
YCL005W-A,0,38,0.5803698435277382,0.0006068042674549892,0.0003521708977548159,0.00011480773720111473
YPL234C,0,41,0.5841463414634146,0.0004660597982042353,0.0002722471260241813,8.817879784638364e-05
YBR039W,0,39,0.4399460188933873,0.002630953977191433,0.0011574777281570946,0.0004977780958404796
YOL077W-A,0,25,0.8733333333333333,0.0012685022367741336,0.0011078252867827434,0.00024000139624824507
Q0085,0,31,0.6236559139784946,0.001360217725050879,0.0008483078285263547,0.00025735402252345424
YHR026W,0,46,0.5507246376811594,0.0008952470679192266,0.0004930346171149364,0.0001693812908317476
YLR295C,0,25,0.86,0.0005580090462601385,0.00047988777978371906,0.00010557565161426735
YDR377W,0,25,0.8633333333333333,0.00020460336478798346,0.00017664090493362572,3.8711081307260305e-05
YPL078C,0,30,0.6666666666666666,0.00042782946111454993,0.00028521964074303325,8.094559477068478e-05
YEL027W,0,46,0.5507246376811594,0.0008952470679192266,0.0004930346171149364,0.0001693812908317476
YLR393W,0,5,0.6,2.319971962391104e-05,1.3919831774346624e-05,4.389401091216112e-06
YPR020W,0,26,0.8676923076923077,3.466119007516032e-05,3.007524800367757e-05,6.557918285441309e-06
Q0130,0,48,0.4237588652482269,0.002010716011873534,0.0008520587355279691,0.0003804286948169387
YDL004W,1,34,0.5472370766488414,0.0007056114229288778,0.0003861367323336283,0.00013350211123182691
YKL016C,0,27,0.8148148148148148,0.0014874655943278527,0.0012120090027856576,0.0002814293969380487
YJR121W,0,56,0.2331168831168831,0.013793333143084088,0.003215458830108563,0.0026097070366040047
YDR322C-A,0,25,0.86,0.00015116786698933006,0.00013000436561082384,2.8601052559096292e-05
YOR020W-A,0,24,0.9347826086956522,3.4042922482923064e-06,3.1822731886210693e-06,6.44094168020541e-07
YCR106W,0,16,0.0,0.02448642269367868,0.0,0.0046328460961586795
YJR119C,0,21,0.4095238095238095,0.0012117018271444575,0.0004962207482591588,0.00022925472413100713
YMR176W,0,17,0.6102941176470589,0.001136276175346028,0.0006934626658361789,0.00021498414484484674
YER154W,0,14,0.1978021978021978,0.0008688542987719658,0.00017186128986698224,0.0001643877628248056
YLR163C,1,28,0.5317460317460317,0.00458108913795289,0.002435975970181299,0.0008667448567078337
Q0120,0,19,0.7777777777777778,0.0002549210206718868,0.00019827190496702308,4.823121246507852e-05
YHR024C,1,15,0.6095238095238096,0.002216853131651432,0.0013512247659589682,0.00041942996350299177
Q0115,0,18,0.869281045751634,7.671363970477423e-05,6.668571294598021e-05,1.4514267382966317e-05
Q0110,0,12,0.8939393939393939,2.4714559712504325e-05,2.2093318530875077e-05,4.6760097591517436e-06
YER048W-A,1,18,0.1568627450980392,0.008500946315193995,0.0013334817749323913,0.0016083842234810445
YPL215W,0,7,0.42857142857142855,0.001654270408605751,0.0007089730322596075,0.0003129889694536099
YGR174C,0,6,0.5333333333333333,0.0002499982304747896,0.00013333238958655445,4.729981755974114e-05
YLR382C,0,19,0.5906432748538012,0.0014172707069976343,0.0008371014117354448,0.00026814848147700617
YGR033C,0,26,0.5138461538461538,0.0003885459872831051,0.00019965286115778015,7.351313758164248e-05
YLR008C,1,27,0.49572649572649574,0.0020995517053882307,0.0010408034095086957,0.00039723646216816396
YOR332W,0,36,0.5396825396825397,0.0016373440992688264,0.0008836460218276205,0.00030978650141183305
YEL051W,0,33,0.5113636363636364,0.0016594320543239396,0.0008485732095974691,0.0003139655559691011
YJL104W,1,25,0.56,0.001345469292917753,0.0007534628040339417,0.0002545636101758779
YGR020C,0,37,0.536036036036036,0.0017018753340576468,0.0009122665078957656,0.0003219958503605002
YDL227C,0,22,0.5324675324675324,0.0016014406462437425,0.0008527151492986161,0.00030299354621920636
YHR039C-A,0,37,0.503003003003003,0.0012129977340208165,0.0006101415028483087,0.00022949991050176579
YDL185W,0,44,0.33192389006342493,0.013221543573306191,0.004388546175494867,0.0025015241015420514
YIL022W,1,28,0.47883597883597884,0.0016326216417395596,0.0007817579818911648,0.0003088930095693359
YPL063W,1,28,0.4947089947089947,0.0010176244599217192,0.0005034279735591573,0.0001925351679778442
YBR127C,0,42,0.4076655052264808,0.01106870264279243,0.00451232825507566,0.00209420528550462
YKR065C,0,26,0.49538461538461537,0.007324119146890053,0.003628255946613226,0.0013857278060559759
YDR164C,1,22,0.2683982683982684,0.001699628965075291,0.00045617747114574914,0.0003215708359800564
YJL143W,1,30,0.432183908045977,0.002155859295177475,0.0009317276953870466,0.00040788989247125785
YOR232W,1,31,0.3827956989247312,0.0033684533324921085,0.0012894294477066566,0.000637313423310193
YPR036W,0,40,0.4423076923076923,0.008620435942786586,0.0038128851285402204,0.0016309917338409262
YKL080W,0,34,0.5989304812834224,0.0017860731250520464,0.0010697336363948084,0.0003379261237284548
YML009C,0,157,0.5089008655887637,0.0023620770366997806,0.0012020630485638601,0.0004469064148404854
YCR071C,0,111,0.6787878787878788,0.00046985742999359836,0.0003189335282380789,8.889731209528374e-05
YCR003W,0,155,0.5209049015500629,0.001849327036679702,0.0009633235179755097,0.00034989380235660335
YGR084C,0,85,0.7764705882352941,0.005798116806070963,0.004502067167066866,0.0010970072331967227
YDR237W,0,112,0.6375482625482626,0.0009028023337660149,0.0005755800593170395,0.00017081075173428972
YMR188C,0,124,0.5599265670076056,0.001741489762747108,0.0009751063843338777,0.0003294909244103697
YDR175C,0,118,0.621903520208605,0.0016075810068694575,0.0009997602871926092,0.00030415530619164996
YNL122C,0,76,0.9249122807017544,0.0005370155364630432,0.0004966922646023094,0.00010160366676679309
YHR059W,0,80,0.8693037974683544,0.001448221400934433,0.0012589443634072428,0.00027400437163181907
YGR076C,0,73,0.9996194824961948,2.5056260066020218e-06,2.50467257204852e-06,4.7406596742759646e-07
YBR122C,0,79,0.9107432651736449,0.00011405403320213698,0.00010387394260473754,2.1579092588648362e-05
YLR439W,0,138,0.5083042420395641,0.0031206275913664935,0.0015862282425172962,0.0005904246420592741
YIL093C,0,78,0.9180819180819181,0.0001804684953769241,0.00016568486238900426,3.414474930641679e-05
