E,D_enc,D_dec,D,U,tau_v,tau_v_imputed
0,0.1547329311700554,0.8398898105977717,0.12995861225365588,1.3043129160285063,30.986138547371255,0
0,0.09804379532563608,0.5936952331072142,0.058208133920569505,3.5031642857695284,14.58962360127849,1
1,0.34755367677097254,0.2631775864343453,0.09146833780896714,4.884383412797662,10.81302986252463,0
0,0.24990735929412516,0.6241139656949509,0.1559706730654094,2.0351280033827956,24.149643140773236,0
1,0.5927968550566619,0.44352402496433563,0.2629196471409306,2.746524097188473,47.540270597337596,0
0,0.7145356742714906,0.32439984505829134,0.23179526202229325,1.9751660776902582,57.271038087630885,0
1,0.29181670902175333,0.4607177429489869,0.13444513553530346,4.277600375557114,44.3878574308047,0
0,0.20635376958500834,0.5693599514299705,0.11748957222831168,2.746790228723168,34.60472772950682,0
0,0.18796733394418452,0.5537587736124701,0.10408856032413724,1.295701610029131,57.065992897479035,0
1,0.7559749586961347,0.49412332680910315,0.3735448615753084,2.282741725178327,24.690114900487888,0
0,0.6213931070244737,0.3429826157030715,0.21312703322711263,1.9131699649972858,50.931076455605805,1
0,0.09221767403755608,0.4204804281363103,0.03877572706104629,2.5116934767624923,23.95143490993478,0
1,0.35235440467169676,0.2246360616063207,0.07915150575508974,1.691952143248341,37.16990961662718,0
1,0.8854241665649416,0.4585789733803135,0.4060369053094706,4.737668620719202,12.490797356839636,0
0,0.3668192486002939,0.661298212913885,0.24257691356178848,1.5546656622411195,36.30808063176099,0
1,0.18243989630792032,0.3091425343143886,0.05639993190468475,2.4062680709578945,10.827516135362956,0
1,0.7676247821995941,0.22037864945863725,0.1691681127921271,2.324043686586669,10.749789020785634,0
0,0.333335874635116,0.8213678205545665,0.2737913608616954,5.228156841598108,15.977249380187407,0
0,0.6230198577254884,0.34814541712241776,0.21690150824338952,2.2475009851663748,39.15079252893511,0
1,0.3584076143669874,0.714933323955316,0.2562375470702854,4.4800374110501,18.98322861973024,0
1,0.4937002740225057,0.30971410552881373,0.1529059387682106,3.1148363773111374,25.065797502236144,0
0,0.4678370347756028,0.050335705659048484,0.02354890727886677,1.6788534114458837,25.005084416704804,0
1,0.10192731415375661,0.4463862139229318,0.04549894786042867,4.531939399057544,24.810471612503097,1
1,0.28722032341029274,0.4886079899862844,0.1403381449047137,4.041109487392536,17.151292998192492,0
1,0.6067106643682738,0.8145527375064583,0.49419783253553945,1.2806045552529253,19.18619757485817,0
0,0.6637396822734497,0.47897077111893216,0.3179119074407492,2.9509051424175565,42.56558783356152,0
1,0.6469365427405604,0.5092572959073673,0.3294571543797188,2.7436997417636575,2.9775043647488078,0
1,0.3363882170591137,0.27054954198352804,0.09100967805399883,1.564407765901933,2.302319733305156,0
1,0.813787326567853,0.5843470890201524,0.4755342553614171,3.685386778334004,9.266975855836066,0
1,0.42588568511482416,0.4927158855306622,0.20984064247618334,4.051044033322042,13.187118222903393,0
0,0.41877694862462583,0.14942713636112384,0.06257664020702731,5.666970303308639,58.077672717370326,0
1,0.18326143838253164,0.3984885482201873,0.07302758452579834,2.1731266145407298,20.04875227391944,0
1,0.7151145321511513,0.6870387441114585,0.4913113900649802,4.6331756430194835,21.73537473570303,0
1,0.8016893099625124,0.5725171526350394,0.4589808810376872,5.331814814710366,19.642327706480877,1
1,0.7521485832062969,0.7210800470601272,0.5423593357746045,3.73551532927671,22.015215495249635,0
1,0.21570666604003136,0.5802855130581708,0.1251714533731071,3.747269834815505,5.858186949578661,0
1,0.5992548754236103,0.4035062631207695,0.24180309543908324,2.2350991905821336,22.374058872484316,0
1,0.4778000735695165,0.8502954215395521,0.406271214967421,5.800101738938904,27.79661497985866,0
0,0.5079375478874893,0.23728106815583788,0.12052396391920053,4.0013057398443586,21.739607812512205,0
1,0.575214121254213,0.7033261328371467,0.40456312345504325,4.240584025120942,4.595588668531107,0
1,0.4415616781000343,0.48515419945136773,0.21422550244702468,3.2575853011466624,2.1695703085294875,0
1,0.3863038843541962,0.5002729000178787,0.193257364514045,2.501251917689315,42.44290559116838,0
1,0.39650959834079696,0.19387815895176397,0.07687455093301712,5.866633620271326,17.650398413819172,0
1,0.382042038195117,0.5200270446272561,0.19867219204598,3.503605361873408,30.853661687670517,0
0,0.3419370070961288,0.6969606321219766,0.2383166326116147,5.250273655614732,72.58078750375651,0
1,0.3515535316247323,0.6585761021715442,0.23152475456205687,4.980585502741867,8.993649283175975,0
1,0.8345939216972339,0.8788541062357194,0.7334862951229865,2.7183554064238353,3.3012227970169303,0
1,0.37797669912271004,0.5745776042931156,0.21717694626054648,5.398685513288073,9.62702717939076,0
1,0.31066812715455855,0.5309726615094974,0.16495628232142692,4.919468074078029,12.931914963003472,0
0,0.6632419642315316,0.5044595642635266,0.33457875227752387,1.0304620274840872,9.23204433984859,0
1,0.5718676117902511,0.7812723750071118,0.4467843672530145,1.1827109953978323,8.375275096399216,0
0,0.2798409650960937,0.3198726797428486,0.08951347940711245,3.515669463956204,61.185694016661024,0
0,0.8019470364141638,0.1385501975125814,0.1111099202898117,5.055873455145687,60.210778161858045,1
0,0.3490299385904939,0.37582381198244075,0.13117376201707662,3.2843880374242214,74.22767279239127,1
0,0.4170382555986203,0.25907270186439685,0.10804322765874948,3.5432967176139583,62.305271751028414,0
1,0.2946529881273306,0.8592639419375409,0.25318468808196554,5.871082648421651,16.290341196974367,0
1,0.5055996252959843,0.36665923420090646,0.18538277142329088,4.893718569310366,14.951123642488422,0
1,0.666849920378606,0.4164472033894889,0.2777077844221738,5.870894357993813,15.136368746461542,0
1,0.6285698357490497,0.7128196891771706,0.4480569549447828,4.345382777135896,10.29062466254488,1
1,0.39209581873850113,0.4476314257466237,0.175514410371205,4.396174563742358,11.807194300238354,0
1,0.5156703281275677,0.4938881118549718,0.2546834446985582,4.397719276420533,11.54244753411324,0
1,0.5527453913687409,0.39203934351896064,0.21669794036533216,3.16963103405132,17.725397364794006,0
1,0.3615066832779125,0.7924574147406955,0.286478651641898,2.9379253128042686,15.782480138010424,0
1,0.5071112833110228,0.6218314256656159,0.3153377322724134,4.291983296575349,8.209809520503857,0
1,0.5530736526772652,0.36438765283673047,0.20153321014490574,2.2191605968824866,17.26299515121472,0
1,0.6096307263729535,0.6356219513412148,0.38749467189473885,2.552901912886594,16.559140210195284,0
1,0.360739943408546,0.17620748715564508,0.0635650789446895,4.310814719792745,6.178167614955272,0
0,0.7895645843748843,0.3298252477536673,0.2604183346589676,1.222035018139084,13.534016116295039,0
1,0.644550879451086,0.3753880674733522,0.24195670902539276,4.942622419010577,6.533520019787204,0
0,0.45759761168725943,0.5462709607784835,0.2499722869863386,1.3655592000458574,10.242567973026379,0
1,0.9279632196964752,0.6538380975920174,0.6067377062017066,5.960640781703654,17.234884051763878,0
1,0.5192774386579052,0.18569436705756934,0.0964268952988555,2.9563470379207537,11.366119542228112,0
1,0.44875058440447113,0.5756584652790456,0.2583270727113527,2.992725615666746,10.914609599468564,0
1,0.9123855622179065,0.6495338179935826,0.5926252777096181,4.31096244564038,29.149361587857154,0
1,0.27074952499007576,0.4747913733494845,0.12854953880375866,5.661397237765433,2.8540188544266205,0
0,0.760432490906593,0.3170443813402688,0.24109084863052038,2.6074650152692693,50.50733850193823,0
0,0.18710253845280828,0.6474542886842547,0.1211403409449814,1.2664592256116805,12.233285783283375,0
1,0.433075755613004,0.46637082179848216,0.20197389604623528,2.876168207939608,30.192959750729244,0
1,0.7434077444542991,0.4835354787609936,0.35946401962933994,3.757360601458212,11.36500760128392,0
1,0.5661964700988729,0.6011649472812529,0.3403774710978204,1.4459770937372198,15.805270787693903,0
1,0.8087225901435202,0.38092251498179475,0.3080606429600609,1.1277988331771467,14.615980750487125,0
1,0.7318871667602828,0.6410341293092581,0.46916465269679763,3.0946708270866106,43.71933468664259,0
1,0.19673042491623402,0.36192095830488885,0.0712008639134114,5.719339648759898,15.810663684963675,0
0,0.7321230096079026,0.5377138095631944,0.39367265256513645,1.7763761877400677,49.39130441794978,0
1,0.2019236074406426,0.6095821611424742,0.12308902900935151,5.906986664160557,14.435298885637431,0
1,0.7197435089097562,0.6302878387785809,0.45364558070564254,4.990402188096828,50.16970237000865,0
1,0.73468204260074,0.4571259299544988,0.33584221194473396,4.825089994659874,27.441060448523867,0
1,0.414415341826716,0.7758052578955856,0.3215056011417627,3.3896544197822984,22.29170549006148,0
0,0.4602651355822746,0.5609257442344939,0.25817456372167763,2.709516529046782,35.93855822212722,0
1,0.37977891580415235,0.6386212331744544,0.24253487954450506,1.1981363072920788,25.930748509377402,0
1,0.6290364009047581,0.2771794940984753,0.17435599137230653,4.92008000478454,22.72726353975576,0
1,0.602107696659932,0.4777597949601876,0.28766284970019995,1.1594860421851445,9.979559804408481,0
1,0.3737054723645079,0.5762458632902596,0.2153462325389801,4.970194523219145,33.181158504746676,0
0,0.09610593325171858,0.3300504798589938,0.03171980938702614,3.364895425860336,57.71267080782398,1
0,0.33577896193505746,0.14354489327064532,0.0481993552534959,2.1507644763797007,72.24132047752826,0
1,0.33874500021828846,0.757046578117216,0.25644574326957087,5.95120386927654,18.042333736342734,0
1,0.5525566539135004,0.5999680162006601,0.33151631948695753,1.9730420040187682,29.73808621672437,0
