# SIMULATED DATA — generated by swarm-lmd/swarm.py, seed 20260813. Evidence about this model, NOT about the world.
swarm,J,agent,depth,R_from_root,U,d_enc,d_dec,E_UDD,fidelity
0,0.05,0,0,0.0,2.27524311,0.57798528,0.78816182,1.03647773,0.455545928517
0,0.05,34,1,3.56135108,2.31303482,0.68153455,0.79724596,1.25678902,0.011786723094
0,0.05,156,1,4.47213595,0.52727092,0.70128407,0.91091689,0.33682673,0.013857522755
0,0.05,3883,1,4.47213595,1.02635282,0.9039369,0.89323601,0.82870702,0.01751528509
0,0.05,761,1,4.47213595,0.40943799,0.49934854,0.63934279,0.13071508,0.006925488875
0,0.05,2,1,4.47213595,0.52756939,0.5615914,0.88240874,0.26143868,0.010749867843
0,0.05,1,1,4.47213595,0.06424295,0.80522732,0.59546585,0.03080356,0.010401314621
0,0.05,149,1,3.77766706,0.87246681,0.29091939,0.88532135,0.22471006,0.005587100422
0,0.05,3,1,3.29586578,5.99235754,0.83031546,0.76559261,3.80924206,0.013789665382
0,0.05,106,1,4.47213595,0.43683639,0.71909624,0.6584179,0.20682711,0.010270734961
0,0.05,1989,2,5.71692413,0.39212344,0.62800138,0.69398067,0.17089556,0.000244614251
0,0.05,151,2,5.71692413,0.65434439,0.67563656,0.55355809,0.24472747,0.000209918218
0,0.05,60,2,5.19715705,1.18693603,0.20613006,0.48045426,0.11754948,5.5586224e-05
0,0.05,945,2,5.11399201,1.11168034,0.94256404,0.63262782,0.66288636,0.000391555736
0,0.05,25,2,4.85259772,0.62002346,0.74398952,0.54777217,0.25268235,0.000267609308
0,0.05,33,2,4.89018309,0.64436475,0.74831284,0.33352417,0.16082082,0.000163887163
0,0.05,1457,2,5.71692413,0.33201835,0.50083828,0.85598682,0.14233991,0.00024062369
0,0.05,3194,2,5.71692413,0.63423304,0.80874508,0.60433112,0.30998128,0.000274321845
0,0.05,2130,2,6.32455532,0.4952472,0.68996653,0.75107541,0.25664547,0.000265274437
0,0.05,581,2,4.86600116,3.87845819,0.89152894,0.58315078,2.01639413,0.000138319526
0,0.05,1297,2,6.32455532,5.95941423,0.56939543,0.64296599,2.18175283,0.00012073498
0,0.05,487,2,5.55542359,0.49781476,0.74809986,0.67472386,0.25127739,0.000331451564
0,0.05,515,2,5.85412405,0.39843871,0.84503026,0.83159964,0.27999359,0.000186962168
0,0.05,1079,2,5.0742633,1.36109021,0.56797447,0.84256953,0.65136058,0.000314245449
0,0.05,1608,2,5.71692413,0.51843536,0.61061702,0.83451142,0.26417749,0.000286005889
0,0.05,687,2,4.50255225,4.22357008,0.84791024,0.95154775,3.40769071,0.000529803592
0,0.05,345,2,4.40440225,10.33647056,0.78022089,0.54708353,4.41208111,0.000239576934
0,0.05,165,2,5.18830811,5.55234027,0.5002399,0.9090239,2.52481581,0.000255227469
0,0.05,14,2,5.55542359,2.21481335,0.25783913,0.62514411,0.35699825,0.000105843305
0,0.05,57,2,4.97336557,0.33023894,0.48751554,0.7496284,0.12068763,0.000239976616
0,0.05,17,2,5.05557759,0.42164423,0.78141443,0.70117589,0.23102265,0.000359784819
0,0.05,21,2,4.48262426,6.6961301,0.50989669,0.7117709,2.430224,0.000238318005
0,0.05,1423,2,5.55542359,0.44946035,0.47570845,0.84743161,0.18119112,0.000264715859
0,0.05,4,2,5.55542359,1.0764436,0.82560825,0.75882755,0.67438577,0.000411387934
0,0.05,98,2,5.55542359,0.48322134,0.88744127,0.64488994,0.27654851,0.000375802491
0,0.05,825,2,5.55542359,0.20092334,0.86316239,0.69973565,0.12135478,0.00039660752
0,0.05,1724,2,5.71692413,1.14837332,0.76822489,0.89380923,0.78852652,0.000385395818
0,0.05,48,2,5.55542359,1.66305097,0.68303186,0.95470387,1.08446417,0.000428197453
0,0.05,1512,2,4.83919231,0.140609,0.63827905,0.69178395,0.06208607,0.000289944919
0,0.05,27,2,4.89818459,2.67296547,0.60474543,0.87913997,1.42109782,0.000349112226
0,0.05,827,2,5.55542359,0.26769309,0.53703852,0.81130876,0.11663497,0.000286105388
0,0.05,280,2,5.55542359,0.62967847,0.76230269,0.9035074,0.4336886,0.000452265644
0,0.05,10,2,4.94292701,2.30743324,0.67011191,0.79043143,1.2221955,0.000347813127
0,0.05,9,2,5.55542359,0.76258167,0.92245697,0.44859425,0.31556308,0.000271727912
0,0.05,7,2,4.47884462,2.21790735,0.7807724,0.92852152,1.60790292,0.000476048125
0,0.05,8,2,5.55542359,0.54799933,0.45054244,0.41253176,0.10185284,0.000122047119
0,0.05,5,2,6.32455532,1.32464276,0.75467293,0.34437094,0.34425799,0.000128722423
0,0.05,6,2,4.81366603,0.62861446,0.45362907,0.91701529,0.26149406,0.000273156722
0,0.05,301,2,6.32455532,0.23970788,0.76330086,0.47066424,0.08611707,0.000237068176
0,0.05,871,2,4.98238254,0.16789606,0.96998373,0.48147842,0.07841187,0.000262128997
0,0.05,3700,2,5.85412405,1.64937511,0.73531598,0.82791743,1.00410809,0.000161967624
0,0.05,378,2,5.01216528,0.3228996,0.82571578,0.31479736,0.08393231,6.9155838e-05
0,0.05,1131,2,5.55542359,0.13295614,0.75500178,0.97409579,0.0977818,0.00048292988
0,0.05,3310,2,5.55542359,0.42210497,0.53806062,0.90763593,0.20614051,0.000320684021
0,0.05,2195,2,6.32455532,0.91151995,0.79500895,0.79044639,0.57281004,0.000321683119
0,0.05,170,3,6.33197602,5.2283929,0.83772923,0.36307919,1.59027872,3.451776e-06
0,0.05,538,3,5.49983518,6.09300027,0.96940747,0.77232404,4.56180916,8.54145e-06
0,0.05,534,3,7.13181122,0.08833486,0.37238077,0.85563375,0.02814539,1.605903e-06
0,0.05,2002,3,7.74596669,0.20222618,0.48877644,0.37537035,0.03710288,1.054834e-06
0,0.05,158,3,6.57049318,0.98065009,0.84471903,0.54675325,0.45291606,6.007534e-06
0,0.05,135,3,5.67316346,1.80883255,0.83330745,0.80639689,1.21549304,7.62591e-06
0,0.05,3957,3,5.55890317,0.88655355,0.70284536,0.56315345,0.35090658,9.985783e-06
0,0.05,157,3,6.66577283,0.42042581,0.86643531,0.67482239,0.24581874,9.683945e-06
0,0.05,144,3,6.33197602,0.3139331,0.86502058,0.77012517,0.20913411,7.560061e-06
0,0.05,1331,3,5.87131843,0.2210591,0.44253795,0.90047813,0.08809111,5.963118e-06
0,0.05,2159,3,6.32930084,1.68468822,0.98721027,0.9029157,1.50167659,2.0206376e-05
0,0.05,617,3,6.59906847,1.8168659,0.65895992,0.53930064,0.64567327,4.528682e-06
0,0.05,3855,3,7.25832085,1.17193327,0.93100918,0.85721639,0.9352922,7.977655e-06
0,0.05,1461,3,6.27684309,1.39723284,0.73889682,0.77437889,0.79947721,6.527742e-06
0,0.05,181,3,5.89722568,2.09049869,0.89355488,0.61106093,1.14144672,6.636114e-06
0,0.05,1543,3,7.13181122,6.07477523,0.85317617,0.87876203,4.5544948,4.357308e-06
0,0.05,1455,3,5.70998246,0.59005631,0.49547515,0.50991485,0.14907781,1.664117e-06
0,0.05,2522,3,5.78249857,5.58434628,0.70792152,0.50079042,1.97976417,2.335099e-06
0,0.05,2650,3,6.58921712,0.21841767,0.71691262,0.77001241,0.12057346,7.621846e-06
0,0.05,3554,3,7.74596669,0.66145133,0.66555802,0.91183278,0.40142001,6.851018e-06
0,0.05,1342,3,6.27684309,1.19914282,0.61810599,0.7633519,0.56579442,5.382865e-06
0,0.05,1897,3,6.33197602,0.25176249,0.61557257,0.78272946,0.12130591,5.468e-06
0,0.05,3513,3,7.74596669,1.29899541,0.5391297,0.52916577,0.37058908,1.640208e-06
0,0.05,456,3,6.63266253,1.45448698,0.71379303,0.90837331,0.94307559,1.0779098e-05
0,0.05,466,3,6.33197602,2.20234422,0.74188127,0.8594643,1.40425975,7.236021e-06
0,0.05,2683,3,6.27684309,1.660613,0.75900832,0.89179973,1.12404139,7.722174e-06
0,0.05,2673,3,6.34609934,1.17223157,0.72325901,0.51426868,0.43601089,9.383817e-06
0,0.05,2656,3,6.33197602,0.99014451,0.49243162,0.82013147,0.39987845,4.583181e-06
0,0.05,875,3,6.33197602,3.8587921,0.68507825,0.75242026,1.98907906,5.849762e-06
0,0.05,2509,3,7.13181122,2.34147406,0.74396183,0.80915095,1.40951452,3.034061e-06
0,0.05,197,3,6.63266253,16.2145044,0.41970046,0.85044587,5.78748393,5.933786e-06
0,0.05,878,3,6.63266253,1.36150343,0.6599288,0.67719968,0.60846075,7.4295e-06
0,0.05,2504,3,6.60893087,0.37513279,0.5788098,0.65711808,0.1426804,2.505206e-06
0,0.05,207,3,5.82337324,8.48055051,0.65929309,0.7613097,4.25661071,6.396197e-06
0,0.05,3561,3,6.76373773,0.85211112,0.90519891,0.37823029,0.29174039,5.123303e-06
0,0.05,3530,3,6.27684309,1.64081123,0.78386382,0.47713433,0.61367708,4.266846e-06
0,0.05,445,3,6.84971102,1.20999859,0.84617808,0.59534715,0.60956064,6.12266e-06
0,0.05,1800,3,6.32930084,0.6182961,0.41412338,0.80125743,0.20516266,7.522001e-06
0,0.05,3134,3,6.34609934,1.62147491,0.66536622,0.63573186,0.68587497,1.0671619e-05
0,0.05,649,3,6.60893087,2.54281671,0.77104231,0.63758335,1.2500582,3.238019e-06
0,0.05,658,3,6.27684309,0.31496642,0.39592235,0.73922424,0.09218292,3.338965e-06
0,0.05,2150,3,7.13181122,1.55569684,0.67731058,0.97008663,1.0221705,8.501848e-06
0,0.05,2207,3,5.51986189,0.14487697,0.6943639,0.39721113,0.03995838,3.146547e-06
0,0.05,2201,3,7.74596669,1.0660158,0.83560019,0.6858655,0.61094361,3.294969e-06
0,0.05,3785,3,7.13181122,0.44372537,0.81896862,0.86101006,0.3128886,1.3317329e-05
0,0.05,216,3,6.33197602,0.62909097,0.54365174,0.56080861,0.19180014,3.459975e-06
0,0.05,222,3,7.13181122,0.14863119,0.97636044,0.87721304,0.12729906,1.6778283e-05
0,0.05,204,3,6.74973072,0.18194791,0.59803025,0.5410124,0.05886775,5.543115e-06
0,0.05,3647,3,5.52970454,1.00022824,0.68827864,0.74904854,0.51567179,5.881661e-06
0,0.05,398,3,5.28591678,0.28966339,0.75099345,0.82683284,0.17986534,1.032285e-05
0,0.05,2897,3,6.84971102,1.1539437,0.8859979,0.85915923,0.87839726,9.251549e-06
0,0.05,3339,3,6.66577283,0.35623391,0.59521589,0.52885341,0.11213601,5.213586e-06
0,0.05,51,3,6.33197602,1.24104977,0.60676036,0.74325995,0.55968946,5.117944e-06
0,0.05,553,3,6.27684309,1.25424147,0.83478675,0.72058155,0.75446629,6.862532e-06
0,0.05,3422,3,6.33197602,0.79651384,0.96248582,0.34806787,0.26684041,3.801857e-06
0,0.05,1273,3,6.57049318,1.54179173,0.86037554,0.86717912,1.15033035,9.704864e-06
0,0.05,1224,3,6.27684309,0.49843467,0.84311675,0.73876856,0.31045908,7.105945e-06
0,0.05,585,3,6.63266253,0.29363568,0.80722745,0.58103395,0.13772293,7.797281e-06
0,0.05,1911,3,7.13181122,0.83641364,0.79822645,0.81824969,0.54630235,3.291971e-06
0,0.05,552,3,6.66577283,0.95638027,0.68385705,0.79752412,0.52160262,9.033079e-06
0,0.05,2033,3,6.33197602,12.14784042,0.71369728,0.83223546,7.21538213,6.740589e-06
0,0.05,898,3,5.59236363,0.83170802,0.53633974,0.61317418,0.27352355,3.751885e-06
0,0.05,918,3,5.79501116,3.45400493,0.58454952,0.84602399,1.70815369,8.190882e-06
0,0.05,146,3,5.8649461,1.24682627,0.87432359,0.58771429,0.64068476,6.683917e-06
0,0.05,59,3,7.13181122,0.44480317,0.57707768,0.89009454,0.22847479,6.646383e-06
0,0.05,55,3,7.13181122,0.21432196,0.40412546,0.92029937,0.07970985,7.583508e-06
0,0.05,933,3,6.66577283,1.65964249,0.69020901,0.77794028,0.89113075,8.893108e-06
0,0.05,40,3,6.33197602,1.2863892,0.94802661,0.86185031,1.05105332,9.272352e-06
0,0.05,31,3,7.13181122,0.43941104,0.8413203,0.73687174,0.27241075,3.124621e-06
0,0.05,32,3,6.32930084,0.40756316,0.91368172,0.86724574,0.32294758,1.7962578e-05
0,0.05,36,3,6.62675566,13.71481538,0.43872064,0.90125176,5.42280717,3.085744e-06
0,0.05,24,3,7.52772653,3.13266046,0.76751437,0.80748632,1.94148934,3.798889e-06
0,0.05,39,3,6.32930084,6.46123963,0.81424198,0.55087003,2.89813411,1.0167969e-05
0,0.05,797,3,7.13181122,2.07420408,0.80955544,0.6975123,1.17125094,2.84605e-06
0,0.05,792,3,6.32930084,5.78305972,0.66639085,0.57060821,2.19899739,8.619828e-06
0,0.05,768,3,7.13181122,1.13209182,0.87200879,0.77546858,0.76553794,1.3246993e-05
0,0.05,767,3,6.84971102,2.71498068,0.51567509,0.77854244,1.08999672,4.879402e-06
0,0.05,3719,3,6.27684309,0.63051468,0.60987865,0.89299096,0.34338846,6.213212e-06
0,0.05,1069,3,6.33197602,3.13201305,0.81402438,0.88770359,2.26323137,8.200549e-06
0,0.05,850,3,6.63266253,1.17514347,0.55603724,0.7663467,0.50074896,7.083941e-06
0,0.05,250,3,7.13181122,0.07344808,0.81622579,0.39553963,0.02371269,6.583019e-06
0,0.05,999,3,5.88656169,0.13969964,0.63908377,0.66948402,0.05977138,7.977601e-06
